###############################################
# file created at: Wed Sep  1 11:22:32 2021

# Cylinder map info
# center = (0.000500, 0.000500, 0.000500)
# radius = 0.007000
# height = 0.026300
# cubelen = 0.000500
# xy num = 616
# z num = 53
# cirnum*heinum = 32648

# Z0 coil info
# center = (0.000000, 0.000000, 0.000000)
# radius = 0.500000
# gap = 0.500000
# winding = 1.000000
# current = 10000000.000000
###############################################

# x	y	z	Bx	By	Bz
-0.006250 -0.001250 -0.012400 0.000729 0.000146 6.280299
-0.006250 -0.000750 -0.012400 0.000729 0.000088 6.280289
-0.006250 -0.000250 -0.012400 0.000729 0.000029 6.280286
-0.006250 0.000250 -0.012400 0.000729 -0.000029 6.280285
-0.006250 0.000750 -0.012400 0.000729 -0.000088 6.280289
-0.006250 0.001250 -0.012400 0.000729 -0.000146 6.280295
-0.006250 0.001750 -0.012400 0.000729 -0.000204 6.280301
-0.006250 0.002250 -0.012400 0.000729 -0.000263 6.280315
-0.005750 -0.002250 -0.012400 0.000671 0.000263 6.280285
-0.005750 -0.001750 -0.012400 0.000671 0.000204 6.280273
-0.005750 -0.001250 -0.012400 0.000671 0.000146 6.280266
-0.005750 -0.000750 -0.012400 0.000671 0.000088 6.280260
-0.005750 -0.000250 -0.012400 0.000671 0.000029 6.280262
-0.005750 0.000250 -0.012400 0.000671 -0.000029 6.280258
-0.005750 0.000750 -0.012400 0.000671 -0.000088 6.280267
-0.005750 0.001250 -0.012400 0.000671 -0.000146 6.280270
-0.005750 0.001750 -0.012400 0.000671 -0.000204 6.280271
-0.005750 0.002250 -0.012400 0.000671 -0.000263 6.280286
-0.005750 0.002750 -0.012400 0.000671 -0.000321 6.280291
-0.005750 0.003250 -0.012400 0.000671 -0.000379 6.280310
-0.005250 -0.003250 -0.012400 0.000613 0.000379 6.280283
-0.005250 -0.002750 -0.012400 0.000613 0.000321 6.280271
-0.005250 -0.002250 -0.012400 0.000613 0.000263 6.280251
-0.005250 -0.001750 -0.012400 0.000613 0.000204 6.280251
-0.005250 -0.001250 -0.012400 0.000613 0.000146 6.280242
-0.005250 -0.000750 -0.012400 0.000613 0.000087 6.280236
-0.005250 -0.000250 -0.012400 0.000613 0.000029 6.280234
-0.005250 0.000250 -0.012400 0.000613 -0.000029 6.280231
-0.005250 0.000750 -0.012400 0.000613 -0.000088 6.280236
-0.005250 0.001250 -0.012400 0.000613 -0.000146 6.280241
-0.005250 0.001750 -0.012400 0.000613 -0.000204 6.280243
-0.005250 0.002250 -0.012400 0.000613 -0.000263 6.280257
-0.005250 0.002750 -0.012400 0.000613 -0.000321 6.280269
-0.005250 0.003250 -0.012400 0.000613 -0.000379 6.280283
-0.005250 0.003750 -0.012400 0.000613 -0.000438 6.280297
-0.005250 0.004250 -0.012400 0.000613 -0.000496 6.280317
-0.004750 -0.003750 -0.012400 0.000554 0.000438 6.280277
-0.004750 -0.003250 -0.012400 0.000554 0.000379 6.280257
-0.004750 -0.002750 -0.012400 0.000554 0.000321 6.280250
-0.004750 -0.002250 -0.012400 0.000554 0.000263 6.280232
-0.004750 -0.001750 -0.012400 0.000554 0.000204 6.280230
-0.004750 -0.001250 -0.012400 0.000554 0.000146 6.280215
-0.004750 -0.000750 -0.012400 0.000554 0.000087 6.280210
-0.004750 -0.000250 -0.012400 0.000554 0.000029 6.280210
-0.004750 0.000250 -0.012400 0.000554 -0.000029 6.280210
-0.004750 0.000750 -0.012400 0.000554 -0.000087 6.280212
-0.004750 0.001250 -0.012400 0.000554 -0.000146 6.280215
-0.004750 0.001750 -0.012400 0.000554 -0.000204 6.280225
-0.004750 0.002250 -0.012400 0.000554 -0.000263 6.280233
-0.004750 0.002750 -0.012400 0.000554 -0.000321 6.280251
-0.004750 0.003250 -0.012400 0.000554 -0.000379 6.280257
