###############################################
# file created at: Thu Sep  2 20:10:26 2021

# Cylinder map info
# center = (0, 0, 0)
# radius = 0.007
# height = 0.026
# cubelen = 0.0005
# xy num = 616
# z num = 52
# cirnum*heinum = 32032

# Z0 coil info
# center = (0, 0, 0)
# radius = 0.2
# gap = 0.8
# winding = 1
# current = 20000
###############################################

# x	y	z	Bx	By	Bz
-0.00675 -0.00175 -0.01275 0.000389915 0.000101085 0.1242408055
-0.00675 -0.00125 -0.01275 0.000389888 7.22012e-05 0.1242374738
-0.00675 -0.00075 -0.01275 0.000389874 4.33185e-05 0.1242352528
-0.00675 -0.00025 -0.01275 0.000389862 1.44393e-05 0.1242341423
-0.00675 0.00025 -0.01275 0.000389863 -1.44393e-05 0.1242341423
-0.00675 0.00075 -0.01275 0.000389871 -4.33186e-05 0.1242352528
-0.00675 0.00125 -0.01275 0.00038989 -7.21999e-05 0.1242374738
-0.00675 0.00175 -0.01275 0.000389913 -0.000101086 0.1242408055
-0.00625 -0.00275 -0.01275 0.000361 0.000158836 0.1242363628
-0.00625 -0.00225 -0.01275 0.000360961 0.000129943 0.1242308105
-0.00625 -0.00175 -0.01275 0.000360928 0.000101057 0.1242263691
-0.00625 -0.00125 -0.01275 0.000360905 7.21797e-05 0.1242230383
-0.00625 -0.00075 -0.01275 0.000360889 4.33067e-05 0.1242208179
-0.00625 -0.00025 -0.01275 0.00036088 1.44342e-05 0.1242197078
-0.00625 0.00025 -0.01275 0.00036088 -1.44341e-05 0.1242197078
-0.00625 0.00075 -0.01275 0.000360887 -4.33068e-05 0.1242208179
-0.00625 0.00125 -0.01275 0.000360904 -7.21789e-05 0.1242230384
-0.00625 0.00175 -0.01275 0.000360927 -0.000101058 0.1242263691
-0.00625 0.00225 -0.01275 0.000360958 -0.000129942 0.1242308105
-0.00625 0.00275 -0.01275 0.000361001 -0.000158836 0.1242363628
-0.00575 -0.00375 -0.01275 0.000332127 0.0002166 0.1242374729
-0.00575 -0.00325 -0.01275 0.000332078 0.000187693 0.1242296997
-0.00575 -0.00275 -0.01275 0.000332032 0.000158796 0.1242230379
-0.00575 -0.00225 -0.01275 0.000331996 0.000129909 0.1242174871
-0.00575 -0.00175 -0.01275 0.000331968 0.000101031 0.1242130468
-0.00575 -0.00125 -0.01275 0.000331945 7.21626e-05 0.1242097169
-0.00575 -0.00075 -0.01275 0.000331929 4.32943e-05 0.1242074971
-0.00575 -0.00025 -0.01275 0.000331924 1.44334e-05 0.1242063872
-0.00575 0.00025 -0.01275 0.000331922 -1.44331e-05 0.1242063872
-0.00575 0.00075 -0.01275 0.000331929 -4.3294e-05 0.1242074971
-0.00575 0.00125 -0.01275 0.000331944 -7.21622e-05 0.1242097169
-0.00575 0.00175 -0.01275 0.000331967 -0.00010103 0.1242130468
-0.00575 0.00225 -0.01275 0.000331995 -0.00012991 0.1242174871
-0.00575 0.00275 -0.01275 0.000332032 -0.000158797 0.1242230379
-0.00575 0.00325 -0.01275 0.000332077 -0.000187693 0.1242296997
-0.00575 0.00375 -0.01275 0.000332131 -0.000216601 0.1242374729
-0.00525 -0.00425 -0.01275 0.000303227 0.000245467 0.1242341409
-0.00525 -0.00375 -0.01275 0.000303173 0.000216547 0.1242252579
-0.00525 -0.00325 -0.01275 0.000303126 0.000187645 0.1242174866
-0.00525 -0.00275 -0.01275 0.000303086 0.000158756 0.1242108264
-0.00525 -0.00225 -0.01275 0.000303053 0.000129878 0.1242052769
-0.00525 -0.00175 -0.01275 0.000303026 0.000101008 0.1242008377
-0.00525 -0.00125 -0.01275 0.000303007 7.21409e-05 0.1241975086
-0.00525 -0.00075 -0.01275 0.000302995 4.32825e-05 0.1241952893
-0.00525 -0.00025 -0.01275 0.000302985 1.44282e-05 0.1241941796
-0.00525 0.00025 -0.01275 0.000302987 -1.44282e-05 0.1241941796
-0.00525 0.00075 -0.01275 0.000302991 -4.32817e-05 0.1241952893
-0.00525 0.00125 -0.01275 0.000303004 -7.21421e-05 0.1241975086
-0.00525 0.00175 -0.01275 0.000303026 -0.000101006 0.1242008377
-0.00525 0.00225 -0.01275 0.000303054 -0.000129879 0.1242052769
-0.00525 0.00275 -0.01275 0.000303086 -0.000158759 0.1242108264
-0.00525 0.00325 -0.01275 0.000303129 -0.000187644 0.1242174866
-0.00525 0.00375 -0.01275 0.000303175 -0.000216547 0.124225258
-0.00525 0.00425 -0.01275 0.000303228 -0.000245466 0.1242341409
-0.00475 -0.00475 -0.01275 0.000274344 0.000274341 0.12423303
-0.00475 -0.00425 -0.01275 0.000274288 0.000245413 0.124223037
-0.00475 -0.00375 -0.01275 0.000274241 0.0002165 0.1242141559
-0.00475 -0.00325 -0.01275 0.0002742 0.000187605 0.1242063863
-0.00475 -0.00275 -0.01275 0.000274161 0.000158721 0.1241997275
-0.00475 -0.00225 -0.01275 0.00027413 0.00012985 0.1241941792
-0.00475 -0.00175 -0.01275 0.000274105 0.000100983 0.1241897409
-0.00475 -0.00125 -0.01275 0.000274085 7.21275e-05 0.1241864125
-0.00475 -0.00075 -0.01275 0.000274078 4.32749e-05 0.1241841937
-0.00475 -0.00025 -0.01275 0.000274072 1.4427e-05 0.1241830843
-0.00475 0.00025 -0.01275 0.000274071 -1.44259e-05 0.1241830843
-0.00475 0.00075 -0.01275 0.000274074 -4.32725e-05 0.1241841937
-0.00475 0.00125 -0.01275 0.000274089 -7.21257e-05 0.1241864125
-0.00475 0.00175 -0.01275 0.000274108 -0.000100981 0.124189741
-0.00475 0.00225 -0.01275 0.00027413 -0.000129848 0.1241941792
-0.00475 0.00275 -0.01275 0.000274161 -0.000158721 0.1241997275
-0.00475 0.00325 -0.01275 0.000274197 -0.000187605 0.1242063863
-0.00475 0.00375 -0.01275 0.000274241 -0.0002165 0.1242141559
-0.00475 0.00425 -0.01275 0.000274289 -0.000245411 0.124223037
-0.00475 0.00475 -0.01275 0.000274342 -0.000274342 0.12423303
-0.00425 -0.00525 -0.01275 0.000245471 0.000303221 0.12423414
-0.00425 -0.00475 -0.01275 0.000245417 0.000274282 0.1242230365
-0.00425 -0.00425 -0.01275 0.000245369 0.000245362 0.1242130454
-0.00425 -0.00375 -0.01275 0.000245325 0.000216458 0.1242041661
-0.00425 -0.00325 -0.01275 0.000245286 0.000187566 0.124196398
-0.00425 -0.00275 -0.01275 0.000245254 0.000158692 0.1241897405
-0.00425 -0.00225 -0.01275 0.000245225 0.000129823 0.1241841932
-0.00425 -0.00175 -0.01275 0.000245206 0.000100963 0.1241797559
-0.00425 -0.00125 -0.01275 0.000245189 7.21133e-05 0.1241764281
-0.00425 -0.00075 -0.01275 0.000245179 4.32659e-05 0.1241742097
-0.00425 -0.00025 -0.01275 0.000245172 1.44222e-05 0.1241731006
-0.00425 0.00025 -0.01275 0.000245172 -1.44225e-05 0.1241731006
-0.00425 0.00075 -0.01275 0.00024518 -4.32655e-05 0.1241742097
-0.00425 0.00125 -0.01275 0.000245189 -7.21128e-05 0.1241764281
-0.00425 0.00175 -0.01275 0.000245205 -0.000100965 0.1241797559
-0.00425 0.00225 -0.01275 0.000245225 -0.000129823 0.1241841932
-0.00425 0.00275 -0.01275 0.000245254 -0.00015869 0.1241897405
-0.00425 0.00325 -0.01275 0.000245288 -0.000187564 0.124196398
-0.00425 0.00375 -0.01275 0.000245325 -0.000216457 0.1242041661
-0.00425 0.00425 -0.01275 0.000245369 -0.00024536 0.1242130455
-0.00425 0.00475 -0.01275 0.000245415 -0.000274282 0.1242230365
-0.00425 0.00525 -0.01275 0.000245471 -0.00030322 0.12423414
-0.00375 -0.00575 -0.01275 0.000216606 0.000332122 0.124237471
-0.00375 -0.00525 -0.01275 0.000216556 0.00030317 0.1242252565
-0.00375 -0.00475 -0.01275 0.000216507 0.000274233 0.124214155
-0.00375 -0.00425 -0.01275 0.000216463 0.000245318 0.1242041656
-0.00375 -0.00375 -0.01275 0.000216426 0.000216417 0.1241952878
-0.00375 -0.00325 -0.01275 0.000216392 0.000187535 0.124187521
-0.00375 -0.00275 -0.01275 0.000216362 0.000158662 0.1241808647
-0.00375 -0.00225 -0.01275 0.000216338 0.000129799 0.1241753184
-0.00375 -0.00175 -0.01275 0.000216321 0.000100946 0.1241708818
-0.00375 -0.00125 -0.01275 0.000216307 7.21008e-05 0.1241675546
-0.00375 -0.00075 -0.01275 0.000216297 4.3258e-05 0.1241653366
-0.00375 -0.00025 -0.01275 0.000216291 1.44194e-05 0.1241642277
-0.00375 0.00025 -0.01275 0.000216289 -1.44182e-05 0.1241642277
-0.00375 0.00075 -0.01275 0.000216294 -4.32566e-05 0.1241653366
-0.00375 0.00125 -0.01275 0.000216306 -7.20985e-05 0.1241675546
-0.00375 0.00175 -0.01275 0.00021632 -0.000100945 0.1241708818
-0.00375 0.00225 -0.01275 0.00021634 -0.0001298 0.1241753184
-0.00375 0.00275 -0.01275 0.000216362 -0.000158661 0.1241808647
-0.00375 0.00325 -0.01275 0.000216391 -0.000187534 0.124187521
-0.00375 0.00375 -0.01275 0.000216425 -0.000216419 0.1241952879
-0.00375 0.00425 -0.01275 0.000216465 -0.000245319 0.1242041657
-0.00375 0.00475 -0.01275 0.000216505 -0.000274236 0.124214155
-0.00375 0.00525 -0.01275 0.000216555 -0.000303168 0.1242252565
-0.00375 0.00575 -0.01275 0.000216609 -0.00033212 0.124237471
-0.00325 -0.00575 -0.01275 0.000187699 0.000332069 0.1242296973
-0.00325 -0.00525 -0.01275 0.000187653 0.000303121 0.1242174847
-0.00325 -0.00475 -0.01275 0.000187611 0.000274193 0.1242063848
-0.00325 -0.00425 -0.01275 0.000187574 0.00024528 0.124196397
-0.00325 -0.00375 -0.01275 0.00018754 0.000216387 0.1241875206
-0.00325 -0.00325 -0.01275 0.00018751 0.000187505 0.1241797549
-0.00325 -0.00275 -0.01275 0.000187487 0.000158638 0.1241730996
-0.00325 -0.00225 -0.01275 0.000187466 0.00012978 0.1241675542
-0.00325 -0.00175 -0.01275 0.000187449 0.000100929 0.1241631182
-0.00325 -0.00125 -0.01275 0.000187437 7.2089e-05 0.1241597915
-0.00325 -0.00075 -0.01275 0.000187429 4.32488e-05 0.1241575739
-0.00325 -0.00025 -0.01275 0.000187425 1.44193e-05 0.1241564651
-0.00325 0.00025 -0.01275 0.000187422 -1.44173e-05 0.1241564651
-0.00325 0.00075 -0.01275 0.00018743 -4.32515e-05 0.1241575739
-0.00325 0.00125 -0.01275 0.000187436 -7.20875e-05 0.1241597916
-0.00325 0.00175 -0.01275 0.000187448 -0.000100929 0.1241631182
-0.00325 0.00225 -0.01275 0.000187465 -0.000129781 0.1241675542
-0.00325 0.00275 -0.01275 0.000187487 -0.000158638 0.1241730996
-0.00325 0.00325 -0.01275 0.000187512 -0.000187505 0.1241797549
-0.00325 0.00375 -0.01275 0.00018754 -0.000216385 0.1241875206
-0.00325 0.00425 -0.01275 0.000187574 -0.00024528 0.124196397
-0.00325 0.00475 -0.01275 0.000187611 -0.000274192 0.1242063849
-0.00325 0.00525 -0.01275 0.000187651 -0.00030312 0.1242174847
-0.00325 0.00575 -0.01275 0.0001877 -0.000332067 0.1242296974
-0.00275 -0.00625 -0.01275 0.000158844 0.000360995 0.1242363595
-0.00275 -0.00575 -0.01275 0.000158802 0.000332024 0.1242230351
-0.00275 -0.00525 -0.01275 0.000158764 0.000303081 0.124210824
-0.00275 -0.00475 -0.01275 0.000158728 0.000274155 0.1241997256
-0.00275 -0.00425 -0.01275 0.000158695 0.000245248 0.124189739
